18A Test,P Diddy,P Diddy,E160520BC,E160520BC,170710F,170710F
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
250939,12.109,18.027,11.942,18.027,12.019,18.011
251477,12.109,18.027,11.942,18.027,12.019,18.011
251997,12.109,18.027,11.942,18.027,12.019,18.011
252522,12.092,18.027,11.942,18.027,12.019,18.011
253077,12.092,18.027,11.942,18.027,12.019,18.011
253628,12.109,18.027,11.942,18.027,12.019,18.011
254120,12.092,18.027,11.942,18.027,12.019,18.011
254652,12.092,18.027,11.942,18.027,12.019,18.011
255156,12.092,18.027,11.942,18.027,12.019,18.011
255685,12.092,18.027,11.942,18.027,12.019,18.011
256179,12.092,18.027,11.942,18.027,12.019,18.011
