18A Test,Kowalski,Kowalski,Fresh Prince,Fresh Prince,Snoop Dogg,Snoop Dogg
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
245015,12.159,18.027,11.909,18.027,12.052,18.011
245504,12.159,18.027,11.909,18.027,12.052,18.011
246037,12.159,18.027,11.909,18.027,12.052,18.011
246534,12.159,18.027,11.909,18.027,12.052,18.011
247052,12.159,18.027,11.909,18.027,12.052,18.011
247551,12.159,18.027,11.909,18.027,12.052,18.011
248073,12.159,18.027,11.909,18.027,12.052,18.011
248576,12.159,18.027,11.909,18.027,12.052,18.011
249121,12.159,18.027,11.909,18.027,12.052,18.011
249642,12.159,18.027,11.909,18.027,12.052,18.011
250150,12.159,18.027,11.909,18.027,12.052,18.011
250662,12.159,18.027,11.909,18.027,12.052,18.011
251155,12.159,18.027,11.909,18.027,12.052,18.011
251703,12.159,18.027,11.909,18.027,12.052,18.011
252204,12.159,18.027,11.909,18.027,12.052,18.011
252727,12.159,18.027,11.909,18.027,12.052,18.011
253234,12.159,18.027,11.909,18.027,12.052,18.011
253754,12.159,18.027,11.909,18.027,12.052,18.011
254257,12.159,18.027,11.909,18.027,12.052,18.011
