18A Test,Whitesnake,Whitesnake,Tupac,Tupac,Fetty Wap,Fetty Wap
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
248838,12.358,18.027,11.909,18.027,12.168,18.011
249358,12.358,18.027,11.909,18.027,12.168,18.011
249858,12.358,18.027,11.909,18.027,12.168,18.011
250382,12.358,18.027,11.909,18.027,12.168,18.011
250878,12.358,18.027,11.909,18.027,12.168,18.011
251411,12.358,18.027,11.909,18.027,12.168,18.011
251951,12.358,18.027,11.909,18.027,12.168,18.011
252445,12.358,18.027,11.909,18.027,12.168,18.011
252970,12.358,18.027,11.909,18.027,12.152,18.011
253478,12.358,18.027,11.909,18.027,12.152,18.011
254030,12.358,18.027,11.909,18.027,12.152,18.011
254535,12.358,18.027,11.909,18.027,12.152,18.011
255054,12.358,18.027,11.909,18.027,12.152,18.011
