18A Test,Ed Sheeran,Ed Sheeran,Tesseract,Tesseract,BLUE-04284-HA,BLUE-04284-HA
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
237949,12.441,18.027,12.257,18.027,12.799,-0.01
238467,12.441,18.027,12.257,18.027,12.799,-0.01
238964,12.441,18.027,12.257,18.027,12.799,-0.01
239493,12.441,18.027,12.257,18.027,12.799,-0.01
239973,12.441,18.027,12.257,18.027,12.799,-0.01
240483,12.441,18.027,12.257,18.027,12.799,-0.01
240969,12.441,18.027,12.257,18.027,12.799,-0.01
241480,12.441,18.027,12.257,18.027,12.799,-0.01
241976,12.441,18.027,12.257,18.027,12.799,-0.01
242493,12.441,18.027,12.257,18.027,12.799,-0.01
